Name,Price(GBP/kg),Density(kg/m^3),Yield_strength(Pa),Elastic_stored_energy(J/m^3),Primary_embodied _energy(J/kg),Primary_CO2E(kg/kg)
Expanded_PS_foam_cc_0.020,2.32,22,110000,1130,92100000,2.49
Expanded_PS_foam_cc_0.025,2.32,27,150000,1470,92100000,2.49
Expanded_PS_foam_cc_0.030,2.32,32,200000,2040,92100000,2.49
Expanded_PS_foam_cc_0.050,2.32,53,800000,11600,92100000,2.49
Phenolic_foam_cc_0.035,5.69,38,900000,675,91000000,3.32
Phenolic_foam_cc_0.080,5.69,84,3000000,1520,91000000,3.32
Phenolic_foam_cc_0.012,5.69,125,400000,1240,91000000,3.32
Phenolic_foam_cc_0.016,5.69,165,600000,1530,91000000,3.32
Phenolic_foam_cc_0.200,5.69,207,800000,1810,91000000,3.32
PC foam_rigid_cc_ 0.65,8.87,680,12000000,72000,125000000,8.49
Polyetherimide foam_cc_0.06,74.6,61.2,545000,3100,245000000,19.9
Polyetherimide foam_cc_0.08,74.6,81.6,750000,4330,245000000,19.9
Polyetherimide foam_cc_0.11,74.6,112,1070000,6270,245000000,19.9
PES foam_cc_ 0.090,40.9,95,700000,9800,243000000,19.7
PES foam_cc_ 0.200,40.9,210,3800000,46500,243000000,19.7
Polymethacrylimide_terephthalate_foam_cc_0.108,8.55,115,520000,2190,97700000,4.86
Polymethacrylimide_terephthalate_foam_cc_0.15,8.55,160,734000,3000,97700000,4.86
Polymethacrylimide_terephthalate_foam_cc_0.24,8.55,245,1470000,6420,97700000,4.86
Polymethacrylimide_terephthalate_foam_cc_0.32,8.55,326,2120000,8940,97700000,4.86
Polymethacrylimide foam_rigid_0.051,94.5,52.1,400000,1470,348000000,29.1
Polymethacrylimide foam_rigid_0.071,86.6,75,1100000,7150,348000000,29.1
Polymethacrylimide foam_rigid_0.110,77.2,110,2200000,16000,348000000,29.1
Polymethacrylimide foam_rigid_0.200,56.7,205,6400000,79900,348000000,29.1
Polyurethane foam_rigid_cc_0.062,8.33,64,192000,1290,97300000,5.28
Polyurethane foam_rigid_cc_0.08,8.33,81.6,276000,1910,97300000,5.28
Polyurethane foam_rigid_cc_0.16,8.33,163,681000,4480,97300000,5.28
Polyurethane foam_rigid_cc_0.4,8.33,408,2350000,12500,97300000,5.28
PVC cross_linked_foam_cc_AC 0.040,12.8,44,370000,2570,84300000,5.4
PVC cross_linked_foam_cc_AC 0.055,12.8,60,750000,7490,84300000,5.4
PVC cross_linked_foam_cc_DH_0.030,12.8,32,280000,1300,84300000,5.4
PVC foam_semirigid_cc_0.5,4.12,530,7000000,25500,75600000,3.24
Steyrene_acrylonitrile_foam_CC_0.055,10.7,56.1,476000,2230,110000000,5.31
Steyrene_acrylonitrile_foam_CC_0.055,10.7,70.4,609000,2850,110000000,5.31
ABS foam_structural_0.85,2.79,860,20000000,161000,102000000,3.84
PC foam_structural_0.85,4.06,860,22000000,124000,125000000,8.49
PP foam_structural_0.6,1.52,620,12000000,129000,83000000,3.21
PS foam_structural_0.8,2.32,820,16000000,103000,92100000,2.49
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Name,Price(GBP/kg),Density(kg/m^3),Yield_strength(Pa),Elastic_stored_energy(J/m^3),Primary_embodied _energy(J/kg),Primary_CO2E(kg/kg)
ABS(extrusion),2.46,1080,29600000,182000,96700000,3.61
ABS(flame_retarded_extrusion),3.36,1210,27600000,177000,110000000,4.08
ABS(heat_resistant_injection),2.46,1080,29600000,206000,96700000,3.61
ABS(high_impact_injection),2.46,1050,18500000,111000,96700000,3.61
ABS(injection_platable),2.46,1070,42000000,356000,96700000,3.61
ABS(medium_impact_injection),2.46,1060,34500000,251000,96700000,3.61
ABS(rubber_modified_injection_extrusion),2.92,1190,40100000,376000,112000000,3.99
ABS(transparent_injection),2.46,1090,32000000,257000,96700000,3.61
ABS_PA,3.9,1090,28500000,305000,122000000,6.02
ABS_PC(flame_retarded),4.03,1230,53100000,493000,110000000,5.43
ABC_PC(injection_extrusion),3.17,1150,24100000,128000,107000000,5.11
ABS_PVC,3.57,1250,29600000,186000,87100000,4.06
,,,,,,
Epoxy_carbon_fiber_resin,17.2,1580,1480000000,9130000,723000000,50.5
Epoxy_SMC,15.3,1490,231000000,460000,617000000,42.7
Epoxy_carbon_fiber_QI,31.6,1580,603000000,3290000,723000000,50.5
Epoxy_carbon_fiber_UD,31.6,1580,1740000000,10700000,723000000,50.5
